GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reconx,com.dbtraining.reconx.config,OpenApiConfig,0,3,0,0,0,1,0,1,0,1
reconx,com.dbtraining.reconx.controller,TradeController,29,9,0,0,5,4,5,1,5,1
reconx,com.dbtraining.reconx.controller,ReconController,12,6,0,0,3,1,3,1,3,1
reconx,com.dbtraining.reconx.controller,AuthController,5,12,0,0,1,5,1,1,1,1
reconx,com.dbtraining.reconx.controller,AuditController,4,6,0,0,2,1,2,1,2,1
reconx,com.dbtraining.reconx.repository,TradeSpecifications,15,0,0,0,3,0,3,0,3,0
reconx,com.dbtraining.reconx.security,SecurityConfig,0,36,0,0,0,7,0,7,0,7
reconx,com.dbtraining.reconx.security,JwtTokenProvider,15,15,0,0,3,5,3,1,3,1
reconx,com.dbtraining.reconx.security,JwtAuthenticationFilter,5,6,0,0,2,1,1,1,1,1
reconx,com.dbtraining.reconx,ReconxApplication,5,3,0,0,2,1,1,1,1,1
reconx,com.dbtraining.reconx.model,TradeType,9,7,0,0,1,3,2,1,2,1
reconx,com.dbtraining.reconx.model,TradeType.AssetClass,0,27,0,0,0,1,0,1,0,1
reconx,com.dbtraining.reconx.model,Money,34,20,1,1,5,5,5,1,4,1
reconx,com.dbtraining.reconx.model,BondTrade.Builder,54,0,0,0,11,0,11,0,11,0
reconx,com.dbtraining.reconx.model,DerivativeTrade,99,0,0,0,28,0,17,0,17,0
reconx,com.dbtraining.reconx.model,FXTrade,85,0,0,0,24,0,15,0,15,0
reconx,com.dbtraining.reconx.model,Side,0,15,0,0,0,2,0,1,0,1
reconx,com.dbtraining.reconx.model,ReconciliationRule,16,115,3,9,3,17,4,7,2,3
reconx,com.dbtraining.reconx.model,DerivativeTrade.OptionType,15,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.model,EquityTrade,38,89,3,3,6,21,9,9,6,9
reconx,com.dbtraining.reconx.model,DerivativeTrade.Builder,59,0,0,0,12,0,12,0,12,0
reconx,com.dbtraining.reconx.model,EquityTrade.Builder,10,98,2,2,2,20,2,11,0,11
reconx,com.dbtraining.reconx.model,BondTrade,92,0,0,0,26,0,16,0,16,0
reconx,com.dbtraining.reconx.model,FXTrade.Builder,50,0,0,0,10,0,10,0,10,0
reconx,com.dbtraining.reconx.model,TradeRef,15,24,1,1,3,6,2,3,1,3
reconx,com.dbtraining.reconx.model,TradeFactory,25,0,0,0,5,0,5,0,5,0
